Title,Review,Rating
Hunahpu's Imperial Stout - Double Barrel Aged,2016 was worth it. 2014 idk man,4.77
Blessed,"2021 editiion, drank May 2022. So sweet, even the small bottle was a lot to drink solo. Ten Years was much more balanced.",4.93
Blessed,"Pours squid ink black and settles in the glass like a black velvet cloak, stopping all light, sitting under a sudsy dark tan head that dissipates quickly, as expected with a beer of this gravity. Absolutely gorgeous imperial stout.I don’t know if the nose of a beer can be decadent, but this beer’s nose is, with rich cocoa and vanilla notes up front, some dark cherries, and a sledgehammer of oak and barrel notes.The taste is led by the vanilla and cocoa notes, and they are rich and chewy, moving into the dark cherry flavors to cut the sweetness a bit, and then finishing with the oak and a welcome boozy warming from the three bourbon barrels featured in this beer.The mouthfeel is as rich and decadent as a gooey bourbon soaked brownie sitting in a dip of vanilla ice cream. I can’t imagine a more perfect rendering of a BA imperial stout.",4.75
Blessed,"If Woodford Reserve, Willet and Heavenly Hill were to get together and make a beery baby, they would be so blessed to have this stout. Slumbering away for extended aging these three barrels give Anchorage Brewing a love child that can compete with the best.Jet black and pouring like inky tar, Blessed pours with a luscious, ominous and velvety pour. While shy on froth the overwhelming scent of molasses, chocolate, whisky, oak, coconut and cream align with stronger scents of coffee and campfire. Once on the tongue, the immense sweetness of molasses, brown sugar and fudge carry and nearly brownie-batter taste with those sweeter bourbon barrels playing a maple and coconut sweetness.As the sweeter flavors swirl on the tastebuds, notions of mound and almond joy pop off of the middle palate while the malts remain juicy and plush. Trailing into a smooth espresso, cappuccino character, the late taste brings out all of those coconut, toasted oak, vanilla, cherry and savory smoke to have the session trending warm, sultry and savory set of pleasantries.Full bodied, pillowy and fortified with nearly port-like proportions, the stout is simply magical. It pushes the boundaries in what is a fully malted imperial stout before pushing into the pastry realm. The warmth of whisky is soothed with caramel malts, vanilla and coconut and balances the sheer malts with utter ease.",4.75
Blessed,Top tier.,5
Blessed,05/20/23 bottle @ Mimi’s house AVL,4.61
Blessed,"2022 bottle, thick like motor oil, black, sweet, boozy, opaque, chocolate, dark fruits. Minimal carbonation that is appropriate for the style. Smooth barrel.",5
Blessed,"2022 Vintage. Blessed is an excellent beer that has a rich, full-bodied taste of dark chocolate and vanilla / marshmallow. Nice thick viscosity and mouthfeel, with a strong chocolate aroma, and easy to drink and enjoy. One of the better beers I've had from Anchorage. I think it's a little overrated on this list, but that's not really a slight - probably more preference than anything. I fail to see how anyone could be disappointed with a pour of Blessed.",5
Blessed,Brilliant,4.75
Blessed,"Blessed American Imperial Stout by Anchorage Brewing Company is a well-regarded stout that is highly sought after by craft beer lovers. This beer is brewed with a combination of malts, hops, and yeast to produce a full-bodied, rich, and flavorful beer that is perfect for those looking for a beer that is big on flavor and aroma.Appearance: Blessed has a deep, dark, almost black color that is consistent throughout the entire pour. The beer is slightly opaque and has a creamy, light brown head that clings to the sides of the glass. This stout has a thick, full body that is easy to drink and is perfect for those who like a rich, full-bodied beer.Aroma: Blessed has a rich, complex aroma that is full of dark chocolate, roasted malt, and coffee notes. The beer has a slightly sweet, slightly bitter aroma that is perfectly balanced and is sure to please those who love dark, roasty beers. The aroma of this beer is so strong and enticing that it is sure to make you want to take a sip.Taste: Blessed has a rich, bold taste that is full of dark chocolate, coffee, and roasted malt notes. The beer is slightly sweet, slightly bitter, and has a slightly creamy mouthfeel that makes it easy to drink. This beer is smooth, full-bodied, and has a great balance of flavor that is sure to please those who love dark, roasty beers.Mouthfeel: Blessed has a rich, creamy mouthfeel that coats the palate and lingers for a long time. The beer is smooth and silky, with a light carbonation that adds a pleasant sparkle to the beer. The mouthfeel is well-balanced, with a perfect combination of creaminess and carbonation.Overall: Blessed is a truly excellent beer that is sure to please even the most discerning beer lover. This beer has a rich, full-bodied taste that is perfectly balanced and is full of dark chocolate, coffee, and roasted malt notes. The aroma of this beer is so strong and enticing that it is sure to make you want to take a sip, and the creamy mouthfeel makes it easy to drink. If you are a fan of dark, roasty beers, then you simply must try Blessed.",4.47
Heady Topper,"For me this is the GOAT. Don’t want to repeat what has already been said, but it just has an unbelievable balance and a je ne sais quoi that is extremely satisfying to enjoy. A beer that elevates the experience from a tasty beverage to something to transform the simple act of drinking into something more thought provoking. Also, for me it is much more balanced than Focal, which some prefer. Cheers.",4.83
Heady Topper,"Poured from a 16 ounce can dated 7-31-23 into a teku glass.Look- Medium gold, very hazy, frothy white head, above average head retention and lacing.Smell- Pine resin, clementine, nectarine, dank, earthy, medium strength of scent.Taste- Pine resin, clementine, pithy, pineapple, herbaceous, high strength of flavor.Feel- Between medium and full body, average carbonation, highly creamy, moderately bitter, mildly mouth warming, mildly dry finish.Overall- Medium gold and very hazy with above average head retention and lacing. Bouquet was medium strength with notes of pine resin, clementine, nectarine and dankness. Flavor was a great mix of pine resin, clementine, pith and pineapple. Feel was between medium and full body, mildly mouth warming and highly creamy. Overall this beer provided a great drinking experience and was much more of a mix between a West Coast IPA and NEIPA, than a true NEIPA from todays standards.",4.31
Heady Topper,"L - Hazy, yellow golden with a frothy white head that sticks around leaving behind a good amount of lacingS - Bright, fresh, piney, resinous, bitter, floral hops. Malt and grass.T - Fresh, piney, resinous, floral, bitter hops up front and throughout, intermixed well with malt and cracker notes along with grass as well as citrus - grapefruit - and apricot Dank on the backendF - medium bodied with moderate carbonation. Crisp, refreshingO - An incredibly well rounded imperial IPA.",4.5
Heady Topper,Yeah ok it’s very good. Great hop flavor. Price point is a bit much but def worth the investment now and again. So seek it out if you can find it and enjoy!,4.75
Heady Topper,"I had a chance to visit the brewery and have Heady Topper on tap, and bring a few home for a more in depth tasting.Aside from knowing its fame, I knew little else. My first thoughts were it was not quite as hazy as I expected. Secondly, upon tasting I was surprised to find it reminded me more of a western IPA than an NEIPA. Not that its a bad thing, I'm just preferential to hazy beers with grapefruit that you cannot see into. Most of my experience is with NY based NEIPAs which do seem a bit different than Vermont.Smell - It seemed more floral than fruity. The alcohol content also shone through a bit.Taste - Wow. No IBU rating on can but this has to be 60+ but not so much as to be a distraction in the taste. The flavor really helps balance the bitterness. The pine and resin was strong, albeit weaker than some great west coast IPA's I have had. This was followed by a complex fruitiness that was beyond me to completely identify. No massive grapefruit or citrus flavor I could identify, maybe a complex mixture of blackberry and blood orange would be the most apt description.The aftertaste was ... dark, damp, and lasting. In a great way. To me the ten seconds after the drink was probably the best part of the beer. The stronger alcohol content was very warming while the flavor was ... dark, but also releasing more taste as the seconds ticked by.And I must say I loved the brewery. Beautiful and great staff. I literally stayed a 3 minute walk from it. My only concern was it was a touch small on the inside seating area, the food options were not strong and it closes at 6PM. Another downside (lol) was the number of very good breweries within 15 minutes, I only was able to make one trip here due to committing to other breweries and the early closing hour.",4.7
Heady Topper,"What? I never rated Heady Topper! Great 'tude. Greater Vt.My sister brings this to me from Vt.a) Hazed golden standard with lace and last - tho brewer encourages us to drink from can, which in a taste test turns out to be great advice.s) Baked good floating an herbal, piney, floral sea.t) Follows aroma through the full see saw of sweet and bitter, woody, earthy, piney, dank, floral.f) Smooth, tongue kissy.o) Deserves it's pinnacle marks.",4.71
Heady Topper,The original! Beer is incredibly hoppy and flavorful strong dank tones. This beer is good.,5
O.W.K.,"B2. Served at SP from bottle. Waited for it to warm for awhile. Pitch black. Nice balance of bourbon and vanilla on the nose. Complex beer. Starts off with bourbon forward, then vanilla comes in very subtlety and finishes with delicious chocolate. Medium to heavy mouthfeel. Would’ve liked it heavier some. Vanilla is there but subtle showcasing the barrel. I would’ve liked more vanilla however.",4.6
Mornin' Delight,I don't know about first thing in morning ... but then again ...,4.27
Mornin' Delight,"On tap at O’Shea Homebrew in San Juan Capistrano, CA.If the sugar plum fairy and Cookie Monster made a baby, I’m sure this is what Mrs. Plum Fairy would lactate. I mean, damn…we are talking sweet. That said, it’s all kinds of balanced and on point like nailing a bullseye at darts before you drain your first beer… What is Raul getting at here? Yeah, he doesn’t play darts. MD is good, but not Raul’s thing. I guess that’s what I meant. Happy to try it (unlike my one and only time at Raising Canes), but I’ll happily move on after having it.",5
Mornin' Delight,"What's not to like about this beer? From the time I opened it, until I finished the last sip, the aroma in the room was that of maple and coffee! It was like a dessert being prepared before you and the scent lingering in trying to attract you. It's mouthwatering to an extent. This is one of those things in life that tastes just like it smells. ""Delight"" is exactly what it is! I am thankful they upped the limits this year, because it's hard to keep my hands off the bottles when I open the fridge. Cheers!",4.29
Mornin' Delight,"Appearance - The beer was black in appearance with a smooth body that showed little visible carbonation and a modest tan head.Smell - Pancakes were immediately brought to mind with notes of coffee and maples syrup in the nose. It was like breakfast for dinner.Taste - As with the nose, it was like breakfast for dinner. The maple syrup seemed to saturate the stout, permeating the body. The beer was not overly sweet, but was balanced by the coffee notes. It seemed as though the coffee was washing down the sweetness. Notes of semi-sweet chocolate same toward the back, but the overall profile of chocolate chip pancakes with maple syrup lingered.Mouthfeel - The body was thick, but not quite motor oil quality. This made the beer more drinkable than the average heavy stout. Carbonation was still very present.Overall - The beer was definitely hype worth. Unlike some other TG beers, it was relatively easy to obtain.",4.25
Mornin' Delight,"2022 Variant - bottle split 4 ways - pours a a rich black with a nice mocha foam into a tulip. Overpowering maple on the nose, and was a little worried that this was going to be too sweet for me, and too much of a dessert stout, but the taste was so well balanced - maple sweetness was well calmed by the roasty coffee and baker's chocolate flavor.While MD was easier to obtain this year from a volume perspective, this was not a cheap bottle to get to Pittsburgh haha - overall - well worth it and while some of the shine might have worn off this beer nationally given it's more readily available, it's still a world class pour. Glad I have a bottle left.",4.95
King Julius,09/19/23 can @ home,4.71
King Julius,Excellent,4.5
King Julius,"A - Pours a hazy orange with a one finger creamy white head. Heavy amount of soapy lacing.S - Aroma is orange, mango and pineapple.T - The taste follows the aroma with orange juice, pineapple, mango, cantaloupe and a light bitterness in the finish.M - Medium body with medium carbonation. Creamy mouthfeel with a soft crisp finish.O - This is a top notch NEIPA.",4.42
King Julius,"L: A Yellow Gold which poured with two fingers of white head. Extremely hazy.S: Pineapple, some mango, orange zest.T: Follows nose with a bit less pineapple. A little bitterness on the back end.F: Moderate carbonation, medium to full body.O: An absolute masterpiece. No wonder it's rated so highly.",5
King Julius,"Pours a dark orange, totally opaque. Small head that disappears quickly but with good lacing. Nose is faint mangos, taste is a soft mango and peach with some bitterness. I liked this better than fresh Julius. A good hazy, better than most but not so amazing you should drive 400 miles. I enjoyed Tree House, but its annoying you have to pay for full pours and can't pay to try several things and see what you like.",4.67
A Deal With The Devil - Triple Oak-Aged,"2021 batch 3, drank in June 2022. Didn't get as much from this as previous ADWTD. Felt sweet without complexity that you would expect. Still very delicious, just not worth the price.",4.63
A Deal With The Devil - Triple Oak-Aged,"Complex and boozy, hits all the right barley wine notes but adds so much more. Fruity, sweet but not cloying. Thick but not too heavy, just all around outstanding.",5
A Deal With The Devil - Triple Oak-Aged,"My first sacrifice at Dark Lord Day 2023 (it's back baby!!!), this screenprinted batch 1 Triple Oak label--sporting those the Aussie stickers with pride--poured a mildly viscous clear reddish-copper with nary a head to speak of, though ringed by a bubbly tan chain.Intensely woody up front, it even leans a little pungent and catty right out of the bottle. However, it quickly transforms into an explodingly delectable maple tempered by a whiskey heat that both continue to expand on the exhale and with each subsequent sip.Though this definitely shows its age, it's quite the experience nevertheless. Still, I'm not sure anything can beat my nostalgia for the original cognac-only bomber, despite my Double Oak rating being the highest of all three.",4.28
A Deal With The Devil - Triple Oak-Aged,As good as it gets. From the bottle at Rosada Ranch on 04/02/23.,4.9
A Deal With The Devil - Triple Oak-Aged,"This is a special one. I wanted to crack this while reading Brandon Sanderson's ""Tress Of The Emerald Sea"". So I did.Apppearance is dark brown, just a shade brighter than a cup of coffee. Definitely some translucence.Nose is just a cacophony of oak, bourbon, dark bread with plum jam, apple butter, caramel soaked raisins, and coconut. Wow. Simply exquisite. The nose is expressive, but not overbearing. Restrained.The taste follows the nose perfectly. Sweet, dark fruit, like plum, date and fig, combined with caramel and brown sugar, rich breadiness, oak, apple, cherry, baking spices. Everything works perfectly with each other.Mouthfeel is full bodied. Not thick or syrupy either. Not too cloying. A little bit of evaporation to counteract. Some tannins to dry. It fits well in this regard. It doesn't hang too heavy on the palate.Overall this is stellar brew. I can't think of many words to really capture how absolutely amazing this experience is. A product crafted by masters in thier field and it shines through brilliantly.",4.99
A Deal With The Devil - Triple Oak-Aged,"2022 vintageReview 1600! I've saved a truly legendary beer for this milestone review, the highest rated American Barleywine on BA and 13th highest rated overall. I just had the Double Oak version yesterday and it was damn good, so I have high hopes for this. Let's crack this beast open and see what it's all aboutPours a cloudy dark brown with just a finger of tan head that quickly fades to a nothing and leaves no lacing, but with fantastic legsIn the nose, it's also quite similar to Double Oak, though with some more barrel presence. I'm picking up on aromas of earthy bourbon, charred oak, molasses, burnt caramel, plum, black cherry, cognac, toasted coconut, sweet vanilla, old leather, light fig, and toffeeThe booze is more forward here, but it pushes such wonderful complexities in taste that it actually adds to the experience. On the front end of the sip I'm tasting cocoa powder, black cherry, cognac, toasted oak, sweet bourbon, honey, molasses, dark toast, fig, sweet vanilla, raisin, light toffee, and tobacco. The swallow brings notes of leather, smoky tobacco, charred oak, molasses, fig, black cherry, toasted coconut, port wine, plum, cacao nib, burnt caramel, brown sugar, and light walnutA full body pairs with gentle tingling carbonation, resulting in a rich and silky beer. Finishes a tad sticky, but the boozy tingle dries it out over timeThis is incredible. The Double Oak version was great too, but this one edges it out. Definitely a beer I'll remember for years to come",5
King JJJuliusss,Perfect NEIPA.,4.64
King JJJuliusss,"L - Opaque light orange with a off-white head that dissipates somewhat quickly leaving behind a good amount of lacingS - Orange and mango up front with pineapple and some grapefruit, slight notes grassy hopsT - tropical forward and throughout - mango and orange dominate intermixed with grassy, piney, slightly bitter hops along with notes of grapefruit and pineapple - there's some bready malt in there to balance everything outF - full bodied with moderate carbonation. Fluffy, soft, smoothO - a truly great and well balanced NEIPA",4.6
King JJJuliusss,"What's left to say about the best of the best of the NEIPA style? I don't know, but it pours an absolutely gorgeous opaque, turbid, chewy looking beast. Aromas and flavors burst with never-too-bitter juices. Ridiculously smooth, pillowy mouthfeel and soft, easy finish. Just incredible.",4.5
King JJJuliusss,"Poured from a can into a snifterAppearance- The beer pours a super hazy orange-juice color with a massive puffy white head. The head has a great level of retention, fading slowly over time and leaving spiderweb lacing all over the sides of the glass.Smell – The aroma is huge of an orange rind smell mixed with sweet notes of tangerine and orange as well as plenty of herbal hops and a strong showing of pine and earth. Mixed with thee smells are some juicy pineapple, mango, and papaya with some citrus hop smell with a ruby red grapefruit. Other citrus notes of lemon and lime as well as some bready malt and light grain are there as well, mixing in with some raw hop smells to produce a rather dank and green hoppy smell overall. mTaste – The taste begins with a thick bready malt flavor that is composed mostly of a smooth wheat, doughy, and oaty flavor. There is also a moderately sizable fruit flavor upfront, with orange and peach being the strongest, but with notes of pear and apple and a hint of lemon in there as well. The hop is strong from the start as well, with a earthy and herbal hop being the most pronounced followed by some notes of pine and floral hops. As the taste advances the pine and herb grown stronger while the earth fades, bringing more dankness to the tongue. That said the sweetness picks up a tad, balancing out the hops rather well, and with some very raw hop and grassy flavors coming on at the end, one is left with a dank, but sweeter and malty taste to linger on the tongue.Mouthfeel – The body of the brew is thick and chewy with a moderate to higher carbonation level. Quite nice for the thick and dank tastes of the brew and certainly makes for a nice slow sipper.Overall –A quite nice and tasty brew with a lot of hop attitude, but a balanced demeaner. While not quite up to the hype, it is certainly a well crafted brew.",4.71
King JJJuliusss,"Appearance: A bubble show lifts the head to a fullsome three fingers perched atop the cloudy goldenstraw colored liquid; strong retention with clumps of lacing left behindSmell: Mango, Mandarin orange and Ruby Red grapefruit aromatics with hints of passion fruit, pineapple and melonTaste: Mango, pineapple and Mandarin orange forward with some melon underneath; the passion fruit and Ruby Red grapefruit emerge, in the middle; the finish is juicy with moderate bitterness and a touch of hop burn in the aftertasteMouthfeel: Medium to full body; creamy with moderate carbonationOverall: A top quality effort from Tree House but very similar to countless others I have had from them",4.5
King JJJuliusss,"Pours a not sure how describe this color, it's not golden, it's not yellow, it's not brown. Somewhere between. Maybe some orange. Off white head. Not as pungent aromatically as Batch 6,000. There's orange, grapefruit, some textured soapiness. IDK this is really good. Is it an improvement on regular ass KJ? IDK. The moniker seems excessive, the beer is not.",4.57
King JJJuliusss,"Very tropical nose. Sweet and orange-ish like sunnyd, with nice acidity and alcohol to balance. A ""wow!"" beer for sure, one that sets the bar for how a hazy can taste.",5
Zenne Y Frontera,18/19 blend 93.,4.79
Zenne Y Frontera,"Blend n94 Season 18/19. Drank 02.02.23 out of a Hill Farmstead oversized wine glass.Look - No head and little carb, gold color.Smell - Distinctly lambic.Taste - Acid. Too much at cellar temp, but when it got to room temp, it was more tasty, but still too much on the sour side for my taste.Feel - Medium mouthfeel with low carbonation.Overall - Just too sour and acidly of a lambic for me to really enjoy; I need to give another blend another shot just to see if it was this batch, or if Zenne might not be my thing.",4.75
Zenne Y Frontera,"A: Pours crystal clear, dark golden yellow, almost amber, small fizzy white head that dissipates quickly. 4.25S: Aroma is tart lactic acidity, a big minerality, some plastic like funk notes, only the faintest barnyard characters. Mild sherry notes give it a subtle fruitiness. A bit of spice on the finish like white pepper. 4.75T: Taste is immediately wildly complex. There’s a sweetness up front followed by a sour tart punch, then lingering oaky vanilla on the finish that lasts forever. It’s not as aggressively tart as some lambics/gueuzes, likely subdued by the cask asking. Other characters I get are red grapes, tart citrus, moderate spice. Just fantastic, so much going on, and the finish is divine. 5M/D: Mouthfeel is medium bodied. Carbonation lower than most in the style but insanely drinkable. 4.25O: A gem of a beer. Well worth the hype. An elite beer. 4.75",4.56
Pliny The Younger,"Intense gummy bear nose. Taste is soft stone fruit, green pear, grapefruit rind, and an absolute blast of pine resin. Prickly mouthfeel. Dry, bitter finish. Phenomenal.",4.67
Pliny The Younger,"Perfect.Boozy, be careful",4.75
Pliny The Younger,"I've been chasing this beer for the better part of 13 years. Today was finally the day. 500ml capped bottle into a Fuzzy IPA glass.Pours crystal clear goldenrod with a slowly building 2 finger foamy white head that sits around. Patchy, stringy lace sticks to the inside of the glass. Nose is citrus, pine, grass, and sap. Fresh, aggressive, resiny. Very pungent. Beer opens grass, pine, and citrus. Zesty towards the middle with loads of fresh pine, unripened tropical fruit, and tree sap. Finishes with a crystal clean bitterness that is dry and lingers in the aftertaste. Body is light to medium with ample carbonation. Prickly and lively on the palate, and goes down dry with a lingering, sticky aftertaste.I may be buying into the hype a bit after all this time but in a category that everyone in the world tries to do 10 times over, this is somehow the best of the bunch. A near perfect beer in every way. This juice is worth the squeeze.",4.71
Pliny The Younger,Bucket list beer. Pretty darn good.,5
Pliny The Younger,Fantastic beer. Very light and golden in color. Very little head on it. Much better than Pliny the Elder. There’s a very subtle fruitiness to it and it goes down very easily,4.74
Pliny The Younger,Quite literally the nectar of the gods,4.46
Pliny The Younger,On Tap at Finley's Pub in Denver. Absolutely Delicious !!,4.79
Pliny The Younger,Poured from a 17.2oz bottle into a snifter at home. Thanks Darin for the share. I love the pine in this.,4.81
Pliny The Younger,Good god man! Holy shit this is a really good beer. Having been blessed with national travel for work and fly fishing trips - and the expendable budget to have had the opportunity to try many of the top beers on beer advocate and those celebrated by fellow beer lovers. I’ve had many many IPAs from Vermont to Colorado and New York to California - but my brother and his gang of beer connoisseurs demanded that I join them in Boulder Colorado for the tapping of a 2023 Pliny the Younger at the annual celebration at Backcountry Pizza & Taphouse… and I couldn’t be more delighted that they did - might be best beer that have ever crossed this unrefined pallet. Perfect all around and holy shit drinkable …,4.94
Coconut Vibes - Barrel-Aged,I kinda wish there was more toasted coconut and less young coconut in this bad boy.,4.72
Coconut Vibes - Barrel-Aged,"Look - outstanding black thick with a really nice than frothy sticky headSmell - so much coconut and chocolateTaste - sweet coconut and chocolate along with a ton of barrelFeel - thick and creamyOverall - if you like coconut, this is the best there is",4.9
Coconut Vibes - Barrel-Aged,"Thick, gooey, delicious. Just tastes magnificent. Great smell. Amazing body. Coats the mouth perfectly. One of the best I've ever had. Nice and dark, not boozy, super sweet.",5
Barrel Aged Imperial German Chocolate Cupcake Stout,My bottle was heavily infected. 2022. Anyone else have this happen?,4.36
Fundamental Observation,"Pours a deep, dark brown color. Aroma is a wonderful combination of rich chocolate, deep vanilla with hints of bourbon and dark fruits. Taste is really intense combination following nose -- dark chocolate, strong vanilla, fruity and bourbon flavors. Mouthfeel is full bodied. Overall incredible stout.",5
Fundamental Observation,"2022 vintage (batch 8) served in my Bruery snifter. Pours one shade shy of black. Complexion is opaque. Head ins loose and mocha-colored and quickly disperses into a tight band around the shoulders and an oily slick across the surface. Nose is decadent vanilla, caramel, cocoa and spirits. This is going to be decadently sweet! Taste follows nose - spirits are subdued and only come out at the finish. The rest is just pure candy. Mouthfeel is medium in body with a semi-still carbonation. Overall, an amazing imperial stout.",4.25
Fundamental Observation,"500ml capped bottle into a BBT snifter.Pours with a 1 finger dark mocha head. Beer pours heavy, pitch black, viscous. Sticky, mocha legs. Nose is chocolate, vanilla, molasses, and barrel. Pungent and rich. Beer opens chocolate, vanilla, and fudge. Hints of cocoa powder and roasted malt. Big barrel overtones. More vanilla and molasses in the finish. Body is full with low carbonation. Sticky and viscous on the palate and goes down warm with a long, lingering, sticky aftertaste.This is great. Simple but well made. Amazing body.",4.86
Fundamental Observation,One of my favorites from BL... I only had B1 a few years ago but Im catching up on my reviews.,4.5
